/home/mikolas/alc/17-projeto2/export32x32/0.rr ; 0 (sec) ; s 6  (states:3618)
/home/mikolas/alc/17-projeto2/export32x32/1.rr ; 0 (sec) ; s 5  (states:474)
/home/mikolas/alc/17-projeto2/export32x32/10.rr ; 0 (sec) ; s 8  (states:12726)
/home/mikolas/alc/17-projeto2/export32x32/100.rr ; 4 (sec) ; s 12  (states:196865)
/home/mikolas/alc/17-projeto2/export32x32/1000.rr ; 6 (sec) ; s 14  (states:196090)
/home/mikolas/alc/17-projeto2/export32x32/1001.rr ; 0 (sec) ; s 5  (states:437)
/home/mikolas/alc/17-projeto2/export32x32/1002.rr ; 33 (sec) ; s 15  (states:532486)
/home/mikolas/alc/17-projeto2/export32x32/1003.rr ; 1 (sec) ; s 9  (states:97952)
/home/mikolas/alc/17-projeto2/export32x32/1004.rr ; 4 (sec) ; s 12  (states:356920)
/home/mikolas/alc/17-projeto2/export32x32/1005.rr ; 2 (sec) ; s 11  (states:102170)
/home/mikolas/alc/17-projeto2/export32x32/1006.rr ; 5 (sec) ; s 13  (states:246540)
/home/mikolas/alc/17-projeto2/export32x32/1007.rr ; 0 (sec) ; s 8  (states:27586)
/home/mikolas/alc/17-projeto2/export32x32/1008.rr ; 0 (sec) ; s 4  (states:611)
/home/mikolas/alc/17-projeto2/export32x32/1009.rr ; 6 (sec) ; s 15  (states:156)
/home/mikolas/alc/17-projeto2/export32x32/101.rr ; 1 (sec) ; s 9  (states:48774)
/home/mikolas/alc/17-projeto2/export32x32/1010.rr ; 30 (sec) ; s 17  (states:789623)
/home/mikolas/alc/17-projeto2/export32x32/1011.rr ; 0 (sec) ; s 7  (states:1881)
/home/mikolas/alc/17-projeto2/export32x32/1012.rr ; 0 (sec) ; s 8  (states:22167)
/home/mikolas/alc/17-projeto2/export32x32/1013.rr ; 0 (sec) ; s 9  (states:14238)
/home/mikolas/alc/17-projeto2/export32x32/1014.rr ; 0 (sec) ; s 6  (states:1390)
/home/mikolas/alc/17-projeto2/export32x32/1015.rr ; 0 (sec) ; s 7  (states:2216)
/home/mikolas/alc/17-projeto2/export32x32/1016.rr ; 0 (sec) ; s 6  (states:7341)
/home/mikolas/alc/17-projeto2/export32x32/1017.rr ; 60 (sec) ; n  (states:1558975)
/home/mikolas/alc/17-projeto2/export32x32/1018.rr ; 10 (sec) ; s 12  (states:514590)
/home/mikolas/alc/17-projeto2/export32x32/1019.rr ; 0 (sec) ; s 9  (states:19500)
/home/mikolas/alc/17-projeto2/export32x32/102.rr ; 9 (sec) ; s 12  (states:453698)
/home/mikolas/alc/17-projeto2/export32x32/1020.rr ; 0 (sec) ; s 10  (states:29902)
/home/mikolas/alc/17-projeto2/export32x32/1021.rr ; 1 (sec) ; s 9  (states:64751)
/home/mikolas/alc/17-projeto2/export32x32/1022.rr ; 18 (sec) ; s 14  (states:693072)
/home/mikolas/alc/17-projeto2/export32x32/1023.rr ; 60 (sec) ; n  (states:1654505)
/home/mikolas/alc/17-projeto2/export32x32/1024.rr ; 4 (sec) ; s 11  (states:225703)
/home/mikolas/alc/17-projeto2/export32x32/1025.rr ; 0 (sec) ; s 6  (states:5476)
/home/mikolas/alc/17-projeto2/export32x32/1026.rr ; 60 (sec) ; n  (states:1548435)
/home/mikolas/alc/17-projeto2/export32x32/1027.rr ; 0 (sec) ; s 1  (states:14)
/home/mikolas/alc/17-projeto2/export32x32/1028.rr ; 60 (sec) ; n  (states:1577064)
/home/mikolas/alc/17-projeto2/export32x32/1029.rr ; 0 (sec) ; s 8  (states:7744)
